epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,35447.8,1.08978,0.52501,1.03019,0.95416,0.95193,0.97668,0.75257,1.00237,0.42225,0.99681,0.002674,0.002674,0.002674
76,35951.5,1.09136,0.52367,1.02965,0.95451,0.95205,0.97678,0.75317,1.00145,0.42158,0.99636,0.002575,0.002575,0.002575
77,36457.5,1.09037,0.52112,1.02826,0.95474,0.95205,0.97686,0.75419,1.00044,0.4209,0.99593,0.002476,0.002476,0.002476
78,36962.1,1.08245,0.51847,1.02504,0.95464,0.95222,0.97691,0.7544,0.99959,0.42034,0.99546,0.002377,0.002377,0.002377
79,37466.9,1.07756,0.51645,1.02376,0.95462,0.95264,0.97707,0.75505,0.99866,0.41977,0.99501,0.002278,0.002278,0.002278
80,37969.2,1.07979,0.51455,1.02216,0.95492,0.95269,0.97725,0.75582,0.99769,0.41909,0.99457,0.002179,0.002179,0.002179
81,38476.1,1.08049,0.51371,1.02372,0.95486,0.95314,0.97731,0.75622,0.99685,0.41845,0.99424,0.00208,0.00208,0.00208
82,38937.9,1.06826,0.5098,1.0202,0.95536,0.95335,0.97751,0.75725,0.99587,0.41787,0.99385,0.001981,0.001981,0.001981
83,39654.6,1.06798,0.50845,1.01847,0.95556,0.95312,0.97775,0.75779,0.99481,0.41734,0.99341,0.001882,0.001882,0.001882
84,40089.8,1.0667,0.50743,1.01955,0.95613,0.95317,0.97789,0.75832,0.99388,0.41667,0.99296,0.001783,0.001783,0.001783
85,40522.2,1.06314,0.50497,1.01679,0.95612,0.95378,0.97791,0.75904,0.99291,0.41597,0.99252,0.001684,0.001684,0.001684
86,41015.6,1.06116,0.50188,1.01703,0.95653,0.95406,0.97804,0.75899,0.99192,0.41537,0.99213,0.001585,0.001585,0.001585
87,41515.8,1.0581,0.50215,1.01612,0.95701,0.95411,0.97812,0.75941,0.99095,0.4147,0.99169,0.001486,0.001486,0.001486
88,42103.1,1.05943,0.49683,1.01535,0.95695,0.95427,0.97826,0.75987,0.99,0.41404,0.99123,0.001387,0.001387,0.001387
89,43282,1.05083,0.49508,1.01377,0.95732,0.95446,0.97844,0.76033,0.98919,0.41348,0.99082,0.001288,0.001288,0.001288
90,43624.4,1.05134,0.49583,1.01307,0.95718,0.95475,0.97852,0.76076,0.98817,0.41303,0.99042,0.001189,0.001189,0.001189
91,43971.1,1.02713,0.45896,1.00772,0.9576,0.95485,0.9788,0.7609,0.98724,0.41244,0.99001,0.00109,0.00109,0.00109
92,44288.3,1.02375,0.45465,1.00552,0.95815,0.95474,0.97891,0.76176,0.98609,0.41158,0.98956,0.000991,0.000991,0.000991
93,44606.4,1.01432,0.45077,1.00307,0.95889,0.95452,0.97913,0.76227,0.98496,0.41087,0.98907,0.000892,0.000892,0.000892
94,44924.5,1.00896,0.4471,0.99795,0.95922,0.95442,0.97919,0.76275,0.98371,0.41006,0.98853,0.000793,0.000793,0.000793
95,45242.3,1.00494,0.44313,0.99837,0.96,0.95419,0.97923,0.76359,0.9827,0.40928,0.98806,0.000694,0.000694,0.000694
96,45562,1.00376,0.44281,0.99804,0.96002,0.95411,0.97932,0.7639,0.9816,0.40844,0.98762,0.000595,0.000595,0.000595
97,45881.8,0.99978,0.43965,0.99579,0.96036,0.95407,0.97952,0.76451,0.98049,0.40781,0.98716,0.000496,0.000496,0.000496
98,46200.9,0.99599,0.4395,0.99637,0.96039,0.95419,0.97966,0.76517,0.97929,0.40707,0.98669,0.000397,0.000397,0.000397
99,46520.2,0.99292,0.43563,0.99488,0.9602,0.95418,0.97968,0.76576,0.97829,0.40639,0.98623,0.000298,0.000298,0.000298
100,46839.2,0.99281,0.43411,0.9936,0.96013,0.95455,0.97986,0.76643,0.97735,0.40581,0.9858,0.000199,0.000199,0.000199
